ClassTest,numTests,numFails
ExtensionSessionManagementUnitTest,5,0
ExtensionSitesRefreshTest,5,3
PopupMenuSitesRefreshTest,3,0
InMemoryStatsTest,8,5
StatsdTest,12,0
PopupMenuItemIncludeSiteInContextUnitTest,1,0
ExtensionUiUtilsUnitTest,1,0
UsersAPITest,3,0
ContextUnitTest,9,0
IllegalContextNameExceptionTest,3,0
ScanEventPublisherUnitTest,9,0
SessionStructureUnitTest,97,0
SessionStructureUnitTest$RegexGenerationTests,8,0
SessionUtilsUnitTest,5,0
StandardParameterParserUnitTest,17,0
StructuralNodeModifierUnitTest,1,0
StructuralSiteNodeUnitTest,2,0
TargetUnitTest,2,0
TechSetUnitTest,7,0
TechUnitTest,8,0
VulnerabilitiesLoaderUnitTest,12,0
HttpEncodingDeflateUnitTest,3,0
HttpEncodingGzipUnitTest,3,0
HttpResponseBodyUnitTest,15,0
SocksProxyTest,7,0
ZapCookieSpecUnitTest,8,0
ZapNTLMSchemeTest,8,0
Log4jBootstrapConfigurationTest,3,0
Log4jHomeConfigurationTest,7,0
HttpAuthSessionManagementMethodTypeTest,2,0
SpiderControllerUnitTest,8,0
URLCanonicalizerUnitTest,42,0
URLResolverRfc1808ExamplesUnitTest,2,0
URLResolverUnitTest,18,0
DefaultFetchFilterUnitTest,16,0
DefaultParseFilterUnitTest,21,0
HttpPrefixFetchFilterUnitTest,28,0
SpiderHtmlFormParserUnitTest,57,0
SpiderHtmlParserUnitTest,43,0
SpiderHttpHeaderParserUnitTest,16,0
SpiderParserUnitTest,7,0
SpiderRedirectParserUnitTest,9,0
SpiderResourceFoundUnitTest,18,0
SpiderRobotstxtParserUnitTest,11,0
SpiderSitemapXMLParserUnitTest,18,0
SpiderTextParserUnitTest,11,0
UserUnitTest,10,0
UsersTableModelUnitTest,27,0
ApiUtilsUnitTest,16,0
BoyerMooreMatcherUnitTest,10,0
ByteBuilderUnitTest,32,0
ContentMatcherUnitTest,1,0
FilenameExtensionFilterTest,4,0
FilteredZapTextFieldTest,3,0
HirshbergMatcherUnitTest,18,0
I18NTest,9,4
JsonUtilUnitTest,10,0
LocaleUtilsUnitTest,18,0
MessagesLocaleUnitTest,1,0
PausableScheduledThreadPoolExecutorUnitTest,12,0
PausableThreadPoolExecutorTest,8,0
StatisticsUnitTest,15,0
TimeStampLocaleUnitTest,1,0
XMLStringUtilUnitTest,4,0
ZapNumberSpinnerTest,9,0
ZapXmlConfigurationUnitTest,6,2
AbstractMultipleOptionsBaseTableModelUnitTest,7,0
AbstractMultipleOptionsBaseTablePanelTest,10,0
HrefTypeInfoUnitTest,7,0
JCheckBoxTreeUnitTest,26,0
LayoutHelperUnitTest,4,0
SplashScreenUnitTest$SplashScreenAppenderUnitTest,6,0
DefaultSelectableHttpMessagesContainerTest,5,4
DefaultSingleHttpMessageContainerTest,3,0
HighlightedComponentTest,1,0
HighlighterResultTest,2,0
InStringSearchQueryTest,5,0
SearchUnitTest,1,0
TabbedPaneSearchTest,2,0
TableCellElementTest,5,0
DateFormatStringValueTest,5,0
DefaultHistoryReferencesTableEntryUnitTest,2,0
UsersListModelUnitTest,47,0
